Task-ID STL MTL FineTuning GradNorm(0.1) GradNorm(0.5) RMTL LBTW(0.1) LBTW(0.5)
PCBA-1030 0.436 0.429 0.457 0.296 0.325 0.432 0.430 0.425
PCBA-1379 0.218 0.239 0.209 0.196 0.147 0.180 0.241 0.245
PCBA-1452 0.122 0.111 0.121 0.132 0.117 0.096 0.089 0.099
PCBA-1454 0.185 0.143 0.203 0.078 0.056 0.142 0.184 0.162
PCBA-1457 0.062 0.064 0.052 0.029 0.014 0.046 0.048 0.073
PCBA-1458 0.363 0.433 0.370 0.320 0.328 0.423 0.455 0.427
PCBA-1460 0.605 0.591 0.598 0.469 0.477 0.595 0.604 0.578
PCBA-1461 0.131 0.124 0.113 0.074 0.077 0.115 0.125 0.112
PCBA-1468 0.293 0.235 0.353 0.156 0.102 0.320 0.296 0.285
PCBA-1469 0.244 0.229 0.216 0.151 0.073 0.214 0.240 0.270
PCBA-1471 0.002 0.003 0.006 0.003 0.002 0.003 0.007 0.003
PCBA-1479 0.069 0.074 0.069 0.048 0.038 0.075 0.064 0.069
PCBA-1631 0.096 0.088 0.133 0.020 0.012 0.067 0.058 0.053
PCBA-1634 0.104 0.121 0.086 0.132 0.043 0.166 0.118 0.235
PCBA-1688 0.118 0.151 0.119 0.100 0.109 0.149 0.159 0.155
PCBA-1721 0.316 0.305 0.321 0.248 0.163 0.297 0.321 0.307
PCBA-2100 0.248 0.201 0.238 0.124 0.075 0.228 0.185 0.210
PCBA-2101 0.182 0.167 0.174 0.090 0.009 0.122 0.123 0.158
PCBA-2147 0.386 0.383 0.378 0.322 0.308 0.392 0.387 0.375
PCBA-2242 0.589 0.389 0.596 0.163 0.120 0.471 0.416 0.439
PCBA-2326 0.029 0.017 0.036 0.014 0.016 0.019 0.017 0.023
PCBA-2451 0.275 0.233 0.281 0.137 0.145 0.229 0.224 0.227
PCBA-2517 0.198 0.283 0.209 0.238 0.218 0.292 0.279 0.280
PCBA-2528 0.119 0.148 0.122 0.124 0.131 0.195 0.125 0.193
PCBA-2546 0.517 0.536 0.513 0.435 0.447 0.536 0.535 0.554
PCBA-2549 0.184 0.214 0.211 0.174 0.177 0.224 0.219 0.213
PCBA-2551 0.640 0.638 0.650 0.557 0.557 0.648 0.641 0.662
PCBA-2662 0.066 0.113 0.106 0.061 0.083 0.032 0.089 0.080
PCBA-2675 0.120 0.001 0.128 0.123 0.068 0.002 0.004 0.060
PCBA-2676 0.115 0.107 0.122 0.044 0.012 0.109 0.137 0.163
PCBA-411 0.323 0.470 0.364 0.373 0.387 0.460 0.496 0.491
PCBA-463254 0.003 0.021 0.009 0.028 0.007 0.054 0.032 0.022
PCBA-485281 0.010 0.008 0.006 0.004 0.002 0.003 0.012 0.033
PCBA-485290 0.095 0.151 0.096 0.082 0.079 0.133 0.130 0.137
PCBA-485294 0.105 0.047 0.222 0.185 0.033 0.144 0.042 0.215
PCBA-485297 0.483 0.527 0.482 0.373 0.393 0.515 0.530 0.527
PCBA-485313 0.459 0.496 0.466 0.346 0.358 0.494 0.507 0.502
PCBA-485314 0.268 0.329 0.305 0.259 0.234 0.308 0.319 0.315
